 2022-09-20 11:08:08,340 - 'l'
 2022-09-20 11:08:08,403 - 'v'
 2022-09-20 11:08:08,514 - 'r'
 2022-09-20 11:08:08,715 - 'e'
 2022-09-20 11:08:08,715 - 'k'
 2022-09-20 11:08:08,724 - 'l'
 2022-09-20 11:08:08,780 - 'n'
 2022-09-20 11:08:09,031 - 'j'
 2022-09-20 11:08:09,101 - 'k'
 2022-09-20 11:08:09,355 - 'n'
 2022-09-20 11:08:09,362 - 'e'
 2022-09-20 11:08:09,509 - 'a'
 2022-09-20 11:08:09,517 - 'k'
 2022-09-20 11:08:09,670 - 'l'
 2022-09-20 11:08:09,691 - 'b'
 2022-09-20 11:08:09,807 - 'v'
 2022-09-20 11:08:09,878 - 'r'
 2022-09-20 11:08:09,895 - 'k'
 2022-09-20 11:08:09,920 - 'l'
 2022-09-20 11:08:10,068 - 'b'
 2022-09-20 11:08:10,078 - 'e'
 2022-09-20 11:08:10,229 - 'j'
 2022-09-20 11:08:10,273 - 'r'
 2022-09-20 11:08:10,451 - 'b'
 2022-09-20 11:08:10,505 - 'v'
 2022-09-20 11:08:10,571 - 'k'
 2022-09-20 11:08:10,644 - 'r'
 2022-09-20 11:08:10,658 - 'l'
 2022-09-20 11:08:10,806 - 'e'
 2022-09-20 11:08:10,806 - Key.space
 2022-09-20 11:08:10,987 - 'k'
 2022-09-20 11:08:10,987 - 'l'
 2022-09-20 11:08:11,283 - 'f'
 2022-09-20 11:08:11,331 - 'd'
 2022-09-20 11:08:11,535 - 'k'
 2022-09-20 11:08:11,567 - 'v'
 2022-09-20 11:08:11,705 - Key.space
 2022-09-20 11:08:11,835 - 'k'
 2022-09-20 11:08:11,855 - 'l'
 2022-09-20 11:08:12,087 - 'd'
 2022-09-20 11:08:13,966 - 'v'
 2022-09-20 11:08:14,218 - 'n'
 2022-09-20 11:09:55,388 - 'k'
 2022-09-20 11:09:55,693 - 'e'
 2022-09-20 11:09:55,823 - 'y'
 2022-09-20 11:09:56,204 - 'l'
 2022-09-20 11:09:56,383 - 'o'
 2022-09-20 11:09:56,677 - 'g'
 2022-09-20 11:09:56,827 - 'g'
 2022-09-20 11:09:57,253 - 'r'
 2022-09-20 11:09:58,385 - Key.backspace
 2022-09-20 11:09:58,556 - 'e'
 2022-09-20 11:09:58,654 - 'r'
 2022-09-20 11:10:00,953 - Key.enter
 2022-09-20 11:10:37,193 - 'p'
 2022-09-20 11:10:37,531 - 'y'
 2022-09-20 11:10:37,731 - 't'
 2022-09-20 11:10:37,926 - 'h'
 2022-09-20 11:10:38,054 - 'o'
 2022-09-20 11:10:38,296 - 'n'
 2022-09-20 11:10:38,467 - Key.space
 2022-09-20 11:10:38,716 - 'e'
 2022-09-20 11:10:38,877 - 'm'
 2022-09-20 11:10:39,472 - 'a'
 2022-09-20 11:10:39,575 - 'i'
 2022-09-20 11:10:39,803 - 'l'
 2022-09-20 11:10:40,014 - '.'
 2022-09-20 11:10:40,668 - Key.backspace
 2022-09-20 11:10:41,862 - 's'
 2022-09-20 11:10:42,300 - Key.enter
